Date,Open,High,Low,Close,Adj Close,Volume
2016-08-12,76.130699,76.258797,74.223518,74.479706,66.544235,5171753
2016-08-15,74.437012,75.604088,74.380074,75.134407,67.129181,4110394
2016-08-16,75.134407,75.532928,74.508171,74.522408,66.582390,2620445
2016-08-17,74.536636,75.219803,74.166588,74.920921,66.938423,2702791
2016-08-18,74.707428,75.760651,74.707428,75.760651,67.688690,4263774
2016-08-19,75.362129,76.244560,75.362129,76.031067,67.930298,3111287
2016-08-22,75.874512,76.273026,75.461761,76.144936,68.032021,2333078
2016-08-23,76.401123,76.842331,75.789116,76.543449,68.388084,3479874
2016-08-24,76.500748,76.586143,76.102234,76.301491,68.171906,3353967
2016-08-25,76.358421,77.027359,76.258797,76.885033,68.693283,4255342
2016-08-26,77.055824,77.397408,76.002602,76.329956,68.197342,3665925
2016-08-29,76.443817,77.440109,76.443817,77.041595,68.833183,3572478
2016-08-30,76.941963,77.568199,76.742706,76.842331,68.655121,4448489
2016-08-31,76.514984,76.728470,76.031067,76.344193,68.210060,3659531
2016-09-01,76.486519,76.941963,76.045303,76.571915,68.413506,2596064
2016-09-02,77.013123,77.312012,76.714241,77.112755,68.896736,2708411
2016-09-06,77.126991,77.368942,76.458054,76.714241,68.540688,2903877
2016-09-07,76.500748,76.799637,76.116463,76.714241,68.540688,3740963
2016-09-08,76.728470,77.312012,76.102234,77.269318,69.036629,6995582
2016-09-09,76.742706,77.696297,75.717949,76.016838,67.917580,8838802
2016-09-12,75.433296,75.589859,74.337379,75.305199,67.281776,5078728
2016-09-13,74.721664,74.750130,73.398018,74.066956,66.175453,4750048
2016-09-14,74.152351,74.792824,73.725372,74.550873,66.607811,4238199
2016-09-15,74.493942,75.419067,74.308914,75.219803,67.205460,3835464
2016-09-16,74.920921,75.219803,74.479706,75.034782,67.040169,5266957
2016-09-19,75.419067,75.732185,75.276733,75.447533,67.408928,5668778
2016-09-20,75.959908,76.059532,74.807060,74.821289,66.849419,3496737
2016-09-21,74.821289,75.390602,74.437012,75.063248,67.065605,5030459
2016-09-22,75.490227,75.732185,74.792824,74.807060,66.836700,2910692
2016-09-23,74.522408,75.077477,74.138123,74.351608,66.429787,4238972
2016-09-26,74.308914,74.394310,74.038490,74.195053,66.289902,3541915
2016-09-27,74.223518,74.878220,74.038490,74.821289,66.849419,2812046
2016-09-28,74.607803,74.693199,73.526115,74.479706,67.131660,4160069
2016-09-29,74.479706,74.892456,73.511887,73.625748,66.361938,3568403
2016-09-30,74.066956,74.408539,73.711143,73.768074,66.490227,4672059
2016-10-03,74.493942,75.290970,74.209282,74.607803,67.247116,4929916
2016-10-04,74.678963,75.077477,73.639977,73.810768,66.528709,4836750
2016-10-05,74.052727,75.433296,73.981560,75.006317,67.606308,4472589
2016-10-06,74.935150,76.301491,74.550873,76.273026,68.748039,5705665
2016-10-07,76.273026,76.472282,75.134407,75.419067,67.978302,4784827
2016-10-10,76.187630,76.714241,75.959908,76.201859,68.683884,3664379
2016-10-11,76.059532,76.187630,75.319435,76.173393,68.658234,3487603
2016-10-12,76.159164,76.415352,75.276733,75.732185,68.260574,2147309
2016-10-13,74.863991,75.518692,74.266212,75.305199,67.875725,3176840
